Company,Gründer,Link
Convaise,Tushaar Bhatt,https://www.linkedin.com/in/tushaar-bhatt/
Convaise,Jakob von der Haar,https://www.linkedin.com/in/haar/
CoVerified,,https://www.linkedin.com/company/coverified/
CoVerified,Julia Isabel Diehl,https://www.linkedin.com/in/julia-diehl-ux-co/
CoVerified,Florian Schlittenbauer,https://www.linkedin.com/in/schliflo/
CoVerified,Alessa Fetzer,https://www.linkedin.com/in/alessafetzer/
credium,,https://www.linkedin.com/company/crediumcompany/
credium,Lars Wederhake,https://www.linkedin.com/in/lars-wederhake-2b7a1a29/
credium,Timm Tränkler,https://www.linkedin.com/in/timmtraenkler/
Data Machine Intelligence,,https://www.linkedin.com/company/data-machine-intelligence-solutions/
Data Machine Intelligence,Martin Lederer,https://www.linkedin.com/in/martin-lederer-21b81015/
Data Machine Intelligence,Bert van Heukelom,https://www.linkedin.com/in/bert-van-heukelom-66820628/
data42 GmbH,,https://www.linkedin.com/company/data42-gmbh/
data42 GmbH,Vera Kamp,
Datakadabra,,https://www.linkedin.com/company/datakadabra/about/
Datakadabra,Manuel Franz Ziegler,
Datenschmiede.ai GmbH,,https://www.linkedin.com/company/datenschmiede-ai/
Datenschmiede.ai GmbH,Christoph Schröer,https://www.linkedin.com/in/christoph-schroeer/
Datenschmiede.ai GmbH,Felix Kruse,https://www.linkedin.com/in/dr-felix-kruse-38437414b/
Datenschmiede.ai GmbH,Raphael Holtmann,https://www.linkedin.com/in/raphael-holtmann-3a156121a/
dCentra,,https://www.linkedin.com/company/dcentra/
dCentra,Sorin Radu Simplaceanu,https://www.linkedin.com/in/sorin-simplaceanu/
dCentra,Bertalan Vecsei,https://www.linkedin.com/in/berci/
deeeper.technology GmbH,,https://www.linkedin.com/company/deeeper-technology-gmbh/
deeeper.technology GmbH,Johann Peter Karl Heller,https://www.linkedin.com/in/johann-heller-785aab9a/
deeeper.technology GmbH,Jakob Heinz Wolfgang Heller,https://www.linkedin.com/in/jakob-heller-937438113/
deeeper.technology GmbH,Joshua Becker,https://www.linkedin.com/in/joshua-becker-at-deeeper-technology/
deeeper.technology GmbH,Stan Seeler,https://www.linkedin.com/in/stan-seeler-954765a8/
deineStudienfinanzierung,,https://www.linkedin.com/company/dstudienfinanzierung/
deineStudienfinanzierung,Bastian Krautwald,https://www.linkedin.com/in/bastian-krautwald/
dida Machine Learning,,https://www.linkedin.com/company/dida-machine-learning/
dida Machine Learning,Philipp Jackmuth,https://www.linkedin.com/in/philipp-jackmuth/
discuto,,https://www.linkedin.com/showcase/discuto/about/
discuto,Hannes Leo,https://www.linkedin.com/in/hannes-leo-5a247a8/
discuto,Alfred Taudes,https://www.linkedin.com/in/alfredtaudes/
DKSR - Data Competence Center for Cities & Regions,,https://www.linkedin.com/company/dksr/
DKSR - Data Competence Center for Cities & Regions,Alanus Michael von Radecki,https://www.linkedin.com/in/vonradecki/
DRACOON GmbH,,https://www.linkedin.com/company/dracoon-gmbh/
DraCOON GmbH,Dieter Steiner,https://www.linkedin.com/in/dr-dieter-steiner/
Drone it GmbH,,https://www.linkedin.com/company/droneit-gmbh/about/
Drone it GmbH,Mihael Jakobovic,
Drone it GmbH,Joachim Schlechtriem,https://www.linkedin.com/in/joachim-schlechtriem-b5b9b9129/
EcoLibro GmbH,,https://www.linkedin.com/company/ecolibro-gmbh/
EcoLibro GmbH,Michael Schramek,https://www.linkedin.com/in/michael-schramek-mobilitaetswender/
EcoLibro GmbH,Christian Oleak,https://www.linkedin.com/in/christian-oleak-14a855241/
Economic AI,,https://www.linkedin.com/company/economic-ai/about/
Economic AI,Martin Spindler,https://www.linkedin.com/in/martin-spindler/
Edgeless Systems,,https://www.linkedin.com/company/edgeless-systems/
Edgeless Systems,Thomas Tendyck,https://www.linkedin.com/in/thomas-tendyck/
Edgeless Systems,Felix Schuster,https://www.linkedin.com/in/felixschuster/
Edurocket.de,,https://www.linkedin.com/company/edurocket-de/
Edurocket.de,Georg Hutzschenreuter,https://www.linkedin.com/in/georg-hutzschenreuter/
EGovC GmbH,,https://www.linkedin.com/company/egovc-gmbh/about/
EGovC GmbH,Adrian Nicolai Krzeminski,https://www.linkedin.com/in/adrian-sommer-b85ab0a1/
EineStadt – Einfach.Direkt.Verwalten.,,https://www.linkedin.com/company/einestadt/
EineStadt – Einfach.Direkt.Verwalten.,Sebastian Marc Seitz,https://www.linkedin.com/in/seseitz/
EineStadt – Einfach.Direkt.Verwalten.,Michael Lodes,https://www.linkedin.com/in/michael-lodes-6497a0217/
EINHUNDERT,,https://www.linkedin.com/company/einhundert/
EINHUNDERT,Ernesto Garnier,https://www.linkedin.com/in/ernesto-garnier-3b543114/
Elucidate,,https://www.linkedin.com/company/elucidate-gmbh/
Elucidate,Shane Riedel,https://www.linkedin.com/in/shane-riedel/
enclaive,,https://www.linkedin.com/company/enclaive/
enclaive,Sebastian Gajek,https://www.linkedin.com/in/sebastian-gajek-a120a1267/
enclaive,Andreas Walbrodt,https://www.linkedin.com/in/andreaswalbrodt/
ENEKA Energiekartografie,,https://www.linkedin.com/company/eneka-energiekartografie/
